Department_Name,year,KEN_Code,Insurance_Provider,total_admissions,basic_cost,extra_cost,total_revenue
Αιματολογία,2024,S24Χ,ΕΦΚΑ,1,216.00,0.00,216.00
Αιματολογία,2024,Α26Μα,ΕΦΚΑ,1,2467.00,0.00,2467.00
Αιματολογία,2024,Δ25Χ,ΕΦΚΑ,1,350.00,0.00,350.00
Αιματολογία,2024,Ε11Χ,ΕΟΠΥΥ,1,5302.00,7953.00,13255.00
Αιματολογία,2024,Η40Μα,"Ιδιωτική Ασφάλεια",1,2654.00,1105.83,3759.83
Αιματολογία,2024,Θ24Χ,ΕΦΚΑ,1,669.00,0.00,669.00
Αιματολογία,2024,Κ04Χ,Ανασφάλιστος,1,9163.00,0.00,9163.00
Αιματολογία,2024,Κ06Χ,"Ιδιωτική Ασφάλεια",1,5077.00,0.00,5077.00
Αιματολογία,2024,Κ07Μβ,ΕΦΚΑ,1,7279.00,3639.50,10918.50
Αιματολογία,2024,Κ07Μβ,"Ιδιωτική Ασφάλεια",1,7279.00,7279.00,14558.00
Αιματολογία,2024,Κ15Μ,Ανασφάλιστος,1,2728.00,0.00,2728.00
Αιματολογία,2024,Κ38Χ,ΕΦΚΑ,1,627.00,0.00,627.00
Αιματολογία,2024,Κ47Α,ΕΦΚΑ,1,2423.00,0.00,2423.00
Αιματολογία,2024,Μ02Μ,ΕΦΚΑ,1,9110.00,0.00,9110.00
Αιματολογία,2024,Μ66Χ,"Ιδιωτική Ασφάλεια",1,652.00,0.00,652.00
Αιματολογία,2024,Μ67Μ,"Ιδιωτική Ασφάλεια",1,2428.00,0.00,2428.00
Αιματολογία,2024,Μ69Μ,Ανασφάλιστος,1,1533.00,681.33,2214.33
Αιματολογία,2024,Ξ21Μ,ΕΟΠΥΥ,1,1136.00,0.00,1136.00
Αιματολογία,2024,Π01Χ,Ανασφάλιστος,1,3857.00,0.00,3857.00
Αιματολογία,2024,Π06Α,Ανασφάλιστος,1,1037.00,0.00,1037.00
Αιματολογία,2024,Π27Χ,Ανασφάλιστος,1,988.00,0.00,988.00
Αιματολογία,2024,Π27Χ,ΕΟΠΥΥ,1,988.00,0.00,988.00
Αιματολογία,2024,Π47Μ,ΕΟΠΥΥ,1,1121.00,1345.20,2466.20
Αιματολογία,2024,Ρ24Χ,ΕΟΠΥΥ,1,623.00,0.00,623.00
Αιματολογία,2024,Τ02Α,"Ιδιωτική Ασφάλεια",1,20279.00,7053.57,27332.57
Αιματολογία,2024,Τ21Α,"Ιδιωτική Ασφάλεια",1,41579.00,3987.03,45566.03
Αιματολογία,2024,Τ25Μγ,ΕΦΚΑ,1,3158.00,0.00,3158.00
Αιματολογία,2024,Ω12Α,ΕΦΚΑ,1,946.00,0.00,946.00
Αιματολογία,2024,Ω20Α,ΕΟΠΥΥ,1,557.00,0.00,557.00
Αιματολογία,2025,Α35Μα,"Ιδιωτική Ασφάλεια",1,1556.00,0.00,1556.00
Αιματολογία,2025,Δ20Α,Ανασφάλιστος,1,171.00,684.00,855.00
Αιματολογία,2025,Ε11Μ,"Ιδιωτική Ασφάλεια",1,10704.00,0.00,10704.00
Αιματολογία,2025,Η05Μ,ΕΦΚΑ,1,4533.00,971.36,5504.36
Αιματολογία,2025,Θ01Μ,Ανασφάλιστος,1,6202.00,918.81,7120.81
Αιματολογία,2025,Κ22Α,Ανασφάλιστος,1,7753.00,4134.93,11887.93
Αιματολογία,2025,Κ30Χ,"Ιδιωτική Ασφάλεια",1,4470.00,0.00,4470.00
Αιματολογία,2025,Κ33Α,ΕΟΠΥΥ,1,3132.00,1445.54,4577.54
Αιματολογία,2025,Κ35Μ,Ανασφάλιστος,1,1502.00,0.00,1502.00
