Substance_Name,Allergy_Count,Medicine_Count
"Delphinium Staphisagria Dil. D6",1,1
"Acidum Arsenicosum Spag. Glückselig Dil. D4",1,5
Pivampicillin,1,1
"Glycyphagus Domesticus Extract",1,1
"Acetyl Sulfafurazole",1,1
"Lichene Islandico",1,1
"V. 12a Mit 10 % Glycerol)",1,1
"Acidum Boricum Dil. D4",1,1
"Cytochrome C",1,2
"Pulsatilla Pratensis D3",1,1
"Amanita Muscaria Dil. D3",1,2
"Pilocarpine Nitrate",1,5
"Solidago Virgaurea D2",1,2
"Iobenguane Sulfate I 131",1,1
"Ginger Oil",1,3
"Orache Pollen",1,1
"Strychninum Phosphoricum Dil. D4",1,3
"Prednisolone Sesquihydrate",1,6
"Sodium Picosulfate Anhydrous",1,4
"Opium Extracts",1,1
"Corresponding To 0.36-0.84 Mg Of Hypericin And 9-18 Mg Hyperforin",1,1
Hexaminolevulinate,1,22
"Extractum Compositum Spissum Ex: Cytisi Scoparii Herba",1,3
Gliquidone,1,12
"Glandula Suprarenalis Dextra Bovis Gl Dil. D7 (Hab",1,2
"Furagin Soluble",1,2
"Fosaprepitant Dimeglumine",1,1
"Flucloxacillin Sodium Monohydrate",1,19
Morniflumate,1,11
"Quifenadine Hydrochloride",1,2
"Erythromycin Ethylsuccinate Ph. Eur.",1,2
"Iris Trit. D3",1,1
"Vs. 33a)",1,29
Liposome,1,10
"Medicago Sativa L.",1,6
Albumen,1,1
"Apple Juice Concentrate",1,1
"Viscum Album Fraxini Ex Herba Recente Col. D6",1,1
"Plantago Major D3",1,6
"Extraction Solvent: Ethanol 33% V/V",1,1
"Sennoside A+b",1,6
"Toxicodendron Quercifolium Dil. D4",1,1
"Ren Suis D10",1,1
"Asclepias Tuberosa Dil. D30",1,1
"Vinblastine Sulfate",1,23
"Propantheline Bromide Bp",1,1
"Aciclovir Sodium",1,4
"Artemisia Absinthium Ex Herba Siccata",1,2
"Paclitaxel Albumin-Bound",1,9
"Hydrocortisone Aceponate",1,3
Primycin,1,1
