Shift_Date,Shift_Type,Department_Name,Staff_Type,Subcategory,Num_Staff
2026-03-01,Απογευματινή,Αιματολογία,Διοικητικός,Λογιστής,2
2026-03-01,Απογευματινή,Αιματολογία,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Απογευματινή,Αιματολογία,Ιατρός,Πνευμονολογία,2
2026-03-01,Απογευματινή,Αιματολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Αιματολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Ιατρός,Αιματολογία,1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Ιατρός,Νευρολογία,1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Ιατρός,Ογκολογία,1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Απογευματινή,Γαστρεντερολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Απογευματινή,Γαστρεντερολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Επείγοντα,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Επείγοντα,Διοικητικός,Λογιστής,1
2026-03-01,Απογευματινή,Επείγοντα,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Απογευματινή,Επείγοντα,Ιατρός,Πνευμονολογία,2
2026-03-01,Απογευματινή,Επείγοντα,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Απογευματινή,Επείγοντα,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Καρδιολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Καρδιολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Απογευματινή,Καρδιολογία,Ιατρός,Ουρολογία,1
2026-03-01,Απογευματινή,Καρδιολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Απογευματινή,Καρδιολογία,Ιατρός,Χειρουργική,1
2026-03-01,Απογευματινή,Καρδιολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Απογευματινή,Καρδιολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Απογευματινή,ΜΕΘ,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,ΜΕΘ,Διοικητικός,Λογιστής,1
2026-03-01,Απογευματινή,ΜΕΘ,Ιατρός,Νευρολογία,1
2026-03-01,Απογευματινή,ΜΕΘ,Ιατρός,Ουρολογία,1
2026-03-01,Απογευματινή,ΜΕΘ,Ιατρός,Παθολογία,1
2026-03-01,Απογευματινή,ΜΕΘ,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Απογευματινή,ΜΕΘ,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Απογευματινή,Νευρολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Νευρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Απογευματινή,Νευρολογία,Ιατρός,Αιματολογία,1
2026-03-01,Απογευματινή,Νευρολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Απογευματινή,Νευρολογία,Ιατρός,Χειρουργική,1
2026-03-01,Απογευματινή,Νευρολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Νευρολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Νεφρολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Νεφρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Απογευματινή,Νεφρολογία,Ιατρός,Νευρολογία,1
2026-03-01,Απογευματινή,Νεφρολογία,Ιατρός,Ουρολογία,1
2026-03-01,Απογευματινή,Νεφρολογία,Ιατρός,Παθολογία,1
2026-03-01,Απογευματινή,Νεφρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Απογευματινή,Νεφρολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Ογκολογία,Διοικητικός,Λογιστής,2
2026-03-01,Απογευματινή,Ογκολογία,Ιατρός,Αιματολογία,1
2026-03-01,Απογευματινή,Ογκολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Απογευματινή,Ογκολογία,Ιατρός,Χειρουργική,1
2026-03-01,Απογευματινή,Ογκολογία,Νοσηλευτής,Νοσηλευτής,6
2026-03-01,Απογευματινή,Ορθοπεδική,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Ορθοπεδική,Διοικητικός,Γραμματέας,1
2026-03-01,Απογευματινή,Ορθοπεδική,Ιατρός,Αιματολογία,1
2026-03-01,Απογευματινή,Ορθοπεδική,Ιατρός,Νευρολογία,1
2026-03-01,Απογευματινή,Ορθοπεδική,Ιατρός,Ογκολογία,1
2026-03-01,Απογευματινή,Ορθοπεδική,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Απογευματινή,Ορθοπεδική,Νοσηλευτής,Νοσηλευτής,2
2026-03-01,Απογευματινή,Ορθοπεδική,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Ουρολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",2
2026-03-01,Απογευματινή,Ουρολογία,Ιατρός,Νευρολογία,1
2026-03-01,Απογευματινή,Ουρολογία,Ιατρός,Ουρολογία,1
2026-03-01,Απογευματινή,Ουρολογία,Ιατρός,Παθολογία,1
2026-03-01,Απογευματινή,Ουρολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Ουρολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Οφθαλμολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Απογευματινή,Οφθαλμολογία,Διοικητικός,Λογιστής,1
2026-03-01,Απογευματινή,Οφθαλμολογία,Ιατρός,Γαστρεντερολογία,1
